"month,,value"
"1월,48.82"
"2월,50.24"
"3월,47.36"
"4월,59.82"
"5월,60.95"
"6월,57.36"
"7월,46.82"
"8월,45"
"9월,44.36"
"10월,42.81"
"11월,41.21"
"12월,37.04"
